CAREFUL PHYSICAL EXAMINATION,,Physical Examination,,,,
,,Signs and symptoms of inflammation are often attenuated or absent in neutropenic patients.,,,,
,,"Accordingly, in neutropenic patients, bacterial infections of skin and soft-tissue may lack in duration, erythema, warmth, or pustulation; a pulmonary infection may have no discernible infiltrate on a radiograph; CSF pleocytosis might be modest or altogether absent in the setting of meningitis; and a urinary tract infection may demonstrate little or no pyuria.",,,,
,,Fever is often the only sign of a serious underlying infection.,,,,
,,"A detailed history should include elicitation of new site-specific symptoms, information about antimicrobial prophylaxis, infection exposures, prior documented infections or pathogen colonization, and co-existence of noninfectious causes of fever, such as blood product administration.",,,,
,,"Underlying co-morbid conditions, such as diabetes, chronic obstructive lung disease, and/or recent surgical procedures, should be noted.",,,,
,,"The physical examination of febrile neutropenic patients requires a careful search to detect subtle symptoms and signs, especially at the sites that are most commonly infected: skin (especially sites of previous procedures or catheters, such as catheter entry and exit sites or bone marrow aspiration sites), oropharynx (including periodontium), alimentary tract, lungs, and perineum.",,,,
5.1. Laboratory tests should include a CBC count with differential leukocyte count and platelet count; ,A-III,,,,,
5.2. measurement of serum levels of creatinine and blood urea nitrogen; ,A-III,CBC counts and determination of the levels of serum creatinine and urea nitrogen are needed to plan supportive care and to monitor for the possible occurrence of drug toxicity.,,,,
"5.3. and measurement of electrolytes, hepatic transaminase enzymes, and total bilirubin (A-III).",A-III,,,,,
GET ENOUGH BLOOD IN TWO BOTTLES ,,The total volume of blood cultured is a crucial determinant of detecting a bloodstream infection [47].,[47],"Our data, together with an analysis of previous studies, show that the yield of blood cultures in adults increases approximately 3% per millilitre of blood cultured. ",,
,,(a ‘‘set’’ consists of 1 venipuncture or catheter access draw of 20 mL of blood divided into 1 aerobic and 1 anaerobic blood culture bottle).,,,,
REPEAT TESTS,,These tests should be done at least every 3 days during the course of intensive antibiotic therapy.,,,,
,,At least weekly monitoring of serum transaminase levels is advisable for patients with complicated courses or suspected hepatocellular injury or cholestatic disease.,,,,
"6.1. At least 2 sets of blood cultures are recommended,",A-III,"Accordingly, at least 2 sets of blood culture specimens should be obtained, ",,,,
,,"Recently, 2 retrospective studies found that 2 blood culture sets detect 80%–90% of bloodstream pathogens in critically ill patients, whereas >3 sets are required to achieve >96% detection [49–50]. ",[49] ,,,
